, True
The Life of King Henry the Fifth, True
, True
ACT I, True
PROLOGUE, True
, True
Enter Chorus, True
, True
Chorus, True
, True
O for a Muse of fire, that would ascend, True
The brightest heaven of invention,, True
A kingdom for a stage, princes to act, True
And monarchs to behold the swelling scene!, True
Then should the warlike Harry, like himself,, True
Assume the port of Mars; and at his heels,, True
Leash'd in like hounds, should famine, sword and fire, True
Crouch for employment. But pardon, and gentles all,, True
The flat unraised spirits that have dared, True
On this unworthy scaffold to bring forth, True
So great an object: can this cockpit hold, True
The vasty fields of France? or may we cram, True
Within this wooden O the very casques, True
That did affright the air at Agincourt?, True
O, pardon! since a crooked figure may, True
Attest in little place a million;, True
And let us, ciphers to this great accompt,, True
On your imaginary forces work., True
Suppose within the girdle of these walls, True
Are now confined two mighty monarchies,, True
Whose high upreared and abutting fronts, True
The perilous narrow ocean parts asunder:, True
Piece out our imperfections with your thoughts;, True
Into a thousand parts divide on man,, True
And make imaginary puissance;, True
Think when we talk of horses, that you see them, True
Printing their proud hoofs i' the receiving earth;, True
For 'tis your thoughts that now must deck our kings,, True
Carry them here and there; jumping o'er times,, True
Turning the accomplishment of many years, True
Into an hour-glass: for the which supply,, True
Admit me Chorus to this history;, True
Who prologue-like your humble patience pray,, True
Gently to hear, kindly to judge, our play., True
, True
Exit, True
, True
SCENE I. London. An ante-chamber in the KING'S palace., True
, True
Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY, True
, True
CANTERBURY, True
, True
My lord, I'll tell you; that self bill is urged,, True
Which in the eleventh year of the last king's reign, True
Was like, and had indeed against us pass'd,, True
But that the scambling and unquiet time, True
Did push it out of farther question., True
, True
ELY, True
, True
But how, my lord, shall we resist it now?, True
, True
CANTERBURY, True
, True
It must be thought on. If it pass against us,, True
We lose the better half of our possession:, True
For all the temporal lands which men devout, True
By testament have given to the church, True
Would they strip from us; being valued thus:, True
As much as would maintain, to the king's honour,, True
Full fifteen earls and fifteen hundred knights,, True
Six thousand and two hundred good esquires;, True
And, to relief of lazars and weak age,, True
Of indigent faint souls past corporal toil., True
A hundred almshouses right well supplied;, True
And to the coffers of the king beside,, True
A thousand pounds by the year: thus runs the bill., True
, True
ELY, True
, True
This would drink deep., True
, True
CANTERBURY, True
, True
'Twould drink the cup and all., True
, True
ELY, True
, True
But what prevention?, True
, True
CANTERBURY, True
, True
The king is full of grace and fair regard., True
, True
ELY, True
, True
And a true lover of the holy church., True
, True
CANTERBURY, True
, True
The courses of his youth promised it not., True
The breath no sooner left his father's body,, True
But that his wildness, mortified in him,, True
Seem'd to die too; yea, at that very moment, True
Consideration, like an angel, came, True
And whipp'd the offending Adam out of him,, True
Leaving his body as a paradise,, True
To envelop and contain celestial spirits., True
Never was such a sudden scholar made;, True
Never came reformation in a flood,, True
With such a heady currance, scouring faults, True
Nor never Hydra-headed wilfulness, True
So soon did lose his seat and all at once, True
As in this king., True
, True
ELY, True
, True
We are blessed in the change., True
, True
CANTERBURY, True
, True
Hear him but reason in divinity,, True
And all-admiring with an inward wish, True
You would desire the king were made a prelate:, True
Hear him debate of commonwealth affairs,, True
You would say it hath been all in all his study:, True
List his discourse of war, and you shall hear, True
A fearful battle render'd you in music:, True
Turn him to any cause of policy,, True
The Gordian knot of it he will unloose,, True
Familiar as his garter: that, when he speaks,, True
The air, a charter'd libertine, is still,, True
And the mute wonder lurketh in men's ears,, True
To steal his sweet and honey'd sentences;, True
So that the art and practic part of life, True
Must be the mistress to this theoric:, True
Which is a wonder how his grace should glean it,, True
Since his addiction was to courses vain,, True
His companies unletter'd, rude and shallow,, True
His hours fill'd up with riots, banquets, sports,, True
And never noted in him any study,, True
Any retirement, any sequestration, True
From open haunts and popularity., True
, True
ELY, True
, True
The strawberry grows underneath the nettle, True
And wholesome berries thrive and ripen best, True
Neighbour'd by fruit of baser quality:, True
And so the prince obscured his contemplation, True
Under the veil of wildness; which, no doubt,, True
Grew like the summer grass, fastest by night,, True
Unseen, yet crescive in his faculty., True
, True
CANTERBURY, True
, True
It must be so; for miracles are ceased;, True
And therefore we must needs admit the means, True
How things are perfected., True
, True
ELY, True
, True
But, my good lord,, True
How now for mitigation of this bill, True
Urged by the commons? Doth his majesty, True
Incline to it, or no?, True
, True
CANTERBURY, True
, True
He seems indifferent,, True
Or rather swaying more upon our part, True
Than cherishing the exhibiters against us;, True
For I have made an offer to his majesty,, True
Upon our spiritual convocation, True
And in regard of causes now in hand,, True
Which I have open'd to his grace at large,, True
As touching France, to give a greater sum, True
Than ever at one time the clergy yet, True
Did to his predecessors part withal., True
, True
ELY, True
, True
How did this offer seem received, my lord?, True
, True
CANTERBURY, True
, True
With good acceptance of his majesty;, True
Save that there was not time enough to hear,, True
As I perceived his grace would fain have done,, True
The severals and unhidden passages, True
Of his true titles to some certain dukedoms, True
And generally to the crown and seat of France, True
Derived from Edward, his great-grandfather., True
, True
ELY, True
, True
What was the impediment that broke this off?, True
, True
CANTERBURY, True
, True
The French ambassador upon that instant, True
Craved audience; and the hour, I think, is come, True
To give him hearing: is it four o'clock?, True
, True
ELY, True
, True
It is., True
, True
CANTERBURY, True
, True
Then go we in, to know his embassy;, True
Which I could with a ready guess declare,, True
Before the Frenchman speak a word of it., True
, True
ELY, True
, True
I'll wait upon you, and I long to hear it., True
, True
Exeunt, True
, True
SCENE II. The same. The Presence chamber., True
, True
Enter KING HENRY V, GLOUCESTER, BEDFORD, EXETER, WARWICK, WESTMORELAND, and Attendants, True
, True
KING HENRY V, True
, True
Where is my gracious Lord of Canterbury?, True
, True
EXETER, True
, True
Not here in presence., True
, True
KING HENRY V, True
, True
Send for him, good uncle., True
, True
WESTMORELAND, True
, True
Shall we call in the ambassador, my liege?, True
, True
KING HENRY V, True
, True
Not yet, my cousin: we would be resolved,, True
Before we hear him, of some things of weight, True
That task our thoughts, concerning us and France., True
, True
Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP of ELY, True
, True
CANTERBURY, True
, True
God and his angels guard your sacred throne, True
And make you long become it!, True
, True
KING HENRY V, True
, True
Sure, we thank you., True
My learned lord, we pray you to proceed, True
And justly and religiously unfold, True
Why the law Salique that they have in France, True
Or should, or should not, bar us in our claim:, True
And God forbid, my dear and faithful lord,, True
That you should fashion, wrest, or bow your reading,, True
Or nicely charge your understanding soul, True
With opening titles miscreate, whose right, True
Suits not in native colours with the truth;, True
For God doth know how many now in health, True
Shall drop their blood in approbation, True
Of what your reverence shall incite us to., True
Therefore take heed how you impawn our person,, True
How you awake our sleeping sword of war:, True
We charge you, in the name of God, take heed;, True
For never two such kingdoms did contend, True
Without much fall of blood; whose guiltless drops, True
Are every one a woe, a sore complaint, True
'Gainst him whose wrong gives edge unto the swords, True
That make such waste in brief mortality., True
Under this conjuration, speak, my lord;, True
For we will hear, note and believe in heart, True
That what you speak is in your conscience wash'd, True
As pure as sin with baptism., True
, True
CANTERBURY, True
, True
Then hear me, gracious sovereign, and you peers,, True
That owe yourselves, your lives and services, True
To this imperial throne. There is no bar, True
To make against your highness' claim to France, True
But this, which they produce from Pharamond,, True
'In terram Salicam mulieres ne succedant:', True
'No woman shall succeed in Salique land:', True
Which Salique land the French unjustly gloze, True
To be the realm of France, and Pharamond, True
The founder of this law and female bar., True
Yet their own authors faithfully affirm, True
That the land Salique is in Germany,, True
Between the floods of Sala and of Elbe;, True
Where Charles the Great, having subdued the Saxons,, True
There left behind and settled certain French;, True
Who, holding in disdain the German women, True
For some dishonest manners of their life,, True
Establish'd then this law; to wit, no female, True
Should be inheritrix in Salique land:, True
Which Salique, as I said, 'twixt Elbe and Sala,, True
Is at this day in Germany call'd Meisen., True
Then doth it well appear that Salique law, True
Was not devised for the realm of France:, True
